Domain,Subdomain,Forename,Lastname,Fullname,Type
LS,"Physiology in Health, Disease and Ageing (LS4)",Allan,Vaag,Allan Vaag,Member
LS,"Physiology in Health, Disease and Ageing (LS4)",Angela,Valverde,Angela Maria Valverde,Member
LS,"Physiology in Health, Disease and Ageing (LS4)",Anni,Vanhatalo,Anni Vanhatalo,Member
LS,"Physiology in Health, Disease and Ageing (LS4)",Michael,Weller,Michael Weller,Member
LS,"Physiology in Health, Disease and Ageing (LS4)",Neuroscience and Disorders of the Nervous,,Neuroscience and Disorders of the Nervous,Member
LS,System (LS5),Christian,Büchel,Christian Büchel,Chair
LS,System (LS5),Katerina,Akassoglou,Katerina Akassoglou,Member
LS,System (LS5),Turgay,Dalkara,Turgay Dalkara,Member
LS,System (LS5),Bogdan,Draganski,Bogdan Draganski,Member
LS,System (LS5),Carole,Dufouil,Carole Dufouil,Member
LS,System (LS5),Klaus,Ebmeier,Klaus Ebmeier,Member
LS,System (LS5),Carles,Escera,Carles Escera,Member
LS,System (LS5),Herta,Flor,Herta Flor,Member
LS,System (LS5),Kenneth,Harris,Kenneth Harris,Member
LS,System (LS5),Judith,Homberg,Judith Homberg,Member
LS,System (LS5),Poul,Jensen,Poul Henning Jensen,Member
LS,System (LS5),Frank,Kooy,Frank Kooy,Member
LS,System (LS5),Michela,Matteoli,Michela Matteoli,Member
LS,System (LS5),Orly,Reiner,Orly Reiner,Member
LS,System (LS5),Thérèse,van Amelsvoort,Thérèse van Amelsvoort,Member
LS,"Immunity, Infection and Immunotherapy (LS6)",Maria,Masucci,Maria Grazia Masucci,Chair
LS,"Immunity, Infection and Immunotherapy (LS6)",Marylyn,Addo,Marylyn Addo,Member
LS,"Immunity, Infection and Immunotherapy (LS6)",Oliver,Billker,Oliver Billker,Member
LS,"Immunity, Infection and Immunotherapy (LS6)",Michel,Cogné,Michel Cogné,Member
LS,"Immunity, Infection and Immunotherapy (LS6)",Olivera,Finn,Olivera Finn,Member
LS,"Immunity, Infection and Immunotherapy (LS6)",Francesca,Granucci,Francesca Granucci,Member
LS,"Immunity, Infection and Immunotherapy (LS6)",Mark,Harris,Mark Harris,Member
LS,"Immunity, Infection and Immunotherapy (LS6)",George,Kollias,George Kollias,Member
LS,"Immunity, Infection and Immunotherapy (LS6)",Bruno,Lemaitre,Bruno Lemaitre,Member
LS,"Immunity, Infection and Immunotherapy (LS6)",Claudia,Mauri,Claudia Mauri,Member
LS,"Immunity, Infection and Immunotherapy (LS6)",Thomas,Rudel,Thomas Rudel,Member
LS,"Immunity, Infection and Immunotherapy (LS6)",Bruno,Silva-Santos,Bruno Silva-Santos,Member
LS,"Immunity, Infection and Immunotherapy (LS6)",Diagnosis and Treatment of,Prevention,"Prevention, Diagnosis and Treatment of",Member
LS,Human Diseases (LS7),Dominique,Costagliola,Dominique Costagliola,Chair
LS,Human Diseases (LS7),Ilja,Arts,Ilja Arts,Member
LS,Human Diseases (LS7),Frank,Bengel,Frank Bengel,Member
LS,Human Diseases (LS7),José,Benlloch,José Maria Benlloch,Member
LS,Human Diseases (LS7),Chiara,Bonini,Chiara Bonini,Member
LS,Human Diseases (LS7),Karine,Breckpot,Karine Breckpot,Member
LS,Human Diseases (LS7),Hester,Ruijter,Hester den Ruijter,Member
LS,Human Diseases (LS7),Fredrik,Hook,Fredrik Hook,Member
LS,Human Diseases (LS7),Nuno,Neves,Nuno Neves,Member
LS,Human Diseases (LS7),Pål,Njølstad,Pål Rasmus Njølstad,Member
LS,Human Diseases (LS7),Munir,Pirmohamed,Munir Pirmohamed,Member
LS,Human Diseases (LS7),Josep,Samitier,Josep Samitier,Member
LS,Human Diseases (LS7),Eva,Schernhammer,Eva Schernhammer,Member
LS,Human Diseases (LS7),Remy,Slama,Remy Slama,Member
LS,Human Diseases (LS7),Leonidas,Stefanis,Leonidas Stefanis,Member
LS,Human Diseases (LS7),Ijeoma,Uchegbu,Ijeoma Uchegbu,Member
LS,Human Diseases (LS7),Wolfram,Zimmermann,Wolfram Zimmermann,Member
LS,"Environmental Biology, Ecology and Evolution (LS8)",Joy,Bergelson,Joy Bergelson,Chair
LS,"Environmental Biology, Ecology and Evolution (LS8)",Petr,Baldrian,Petr Baldrian,Member
LS,"Environmental Biology, Ecology and Evolution (LS8)",Miguel,Araujo,Miguel Bastos Araujo,Member
LS,"Environmental Biology, Ecology and Evolution (LS8)",Madeleine,Beekman,Madeleine Beekman,Member
LS,"Environmental Biology, Ecology and Evolution (LS8)",Michael,Brockhurst,Michael Brockhurst,Member
LS,"Environmental Biology, Ecology and Evolution (LS8)",Anne,Charmantier,Anne Charmantier,Member
LS,"Environmental Biology, Ecology and Evolution (LS8)",Sandra,Diaz,Sandra Diaz,Member
LS,"Environmental Biology, Ecology and Evolution (LS8)",Jean-Michel,Gaillard,Jean-Michel Gaillard,Member
LS,"Environmental Biology, Ecology and Evolution (LS8)",Michael,Jetten,Michael S. M. Jetten,Member
